SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,FantasyPointsAllowed,QuarterbackFantasyPointsAllowed,RunningbackFantasyPointsAllowed,WideReceiverFantasyPointsAllowed,TightEndFantasyPointsAllowed,KickerFantasyPointsAllowed,BlockedKickReturnYards,FieldGoalReturnYards,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,IsGameOver,FantasyPoints,Stadium,Temperature,Humidity,WindSpeed,ThirdDownAttempts,ThirdDownConversions,FourthDownAttempts,FourthDownConversions,PointsAllowedByDefenseSpecialTeams,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,VictivSalary,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,OffensiveYardsAllowed,YahooSalary,PlayerID,FantasyPointsYahoo,HeAy
1,2008,2,2008-09-14,BUF,JAX,16,0,41,4,2,20,5,0,0,0,0,1,0,0,0,0,3,38,0,27,4,78,0,22,0,0,46.9,7.8,15.6,12.2,1.3,10,0,0,4,4,0,0,TRUE,5,Jacksonville Municipal Stadium,87,60,5,11,2,2,2,16,\N,\N,\N,\N,0,5,5,243,\N,37,5,AWAY
1,2008,2,2008-09-14,CAR,CHI,17,0,44,8,1,8,4,2,2,22,0,0,0,0,0,0,3,34,0,31,2,36,0,18,0,0,39.36,5.86,19.3,10.4,-1.2,5,0,0,1,3,0,0,TRUE,6,Bank of America Stadium,88,78,10,15,6,1,0,17,\N,\N,\N,\N,0,6,6,256,\N,5,6,HOME
1,2008,2,2008-09-14,CHI,CAR,20,1,38,8,3,26,3,0,0,0,0,1,26,0,1,0,5,30,0,18,4,101,0,36,1,0,47.32,3.42,24.3,8.1,3.5,8,9,0,4,6,0,1,TRUE,12,Bank of America Stadium,88,78,10,13,2,0,0,20,\N,\N,\N,\N,0,14,14,216,\N,38,14,AWAY
1,2008,2,2008-09-14,CIN,TEN,24,0,37,34,1,10,2,1,1,0,0,0,0,0,0,0,2,42,0,34,3,92,0,38,0,0,57.62,9.12,24.9,15.4,2.2,6,0,0,2,4,0,0,TRUE,3,Paul Brown Stadium,88,51,70,13,4,2,0,24,\N,\N,\N,\N,0,3,3,295,\N,7,3,HOME
1,2008,2,2008-09-14,CLE,PIT,10,0,44,16,2,14,2,0,0,0,0,0,0,0,0,0,5,44,0,12,1,22,0,22,0,0,50.76,10.46,10.7,22.3,3.3,4,0,0,6,4,0,0,TRUE,6,Cleveland Browns Stadium,80,69,40,12,3,2,1,10,\N,\N,\N,\N,0,6,6,281,\N,8,6,HOME
1,2008,2,2008-09-15,DAL,PHI,37,1,38,15,4,22,3,0,1,0,0,0,0,0,0,0,3,11,0,6,7,252,1,98,0,0,80.14,15.24,30.6,18.4,2.9,13,0,0,5,7,0,1,TRUE,8,Texas Stadium,76,26,0,12,5,1,0,31,\N,\N,\N,\N,0,11,11,337,\N,48,11,HOME
1,2008,2,2008-09-14,DEN,SD,38,0,34,6,1,1,3,1,0,0,0,1,0,0,0,0,1,6,0,6,2,48,0,26,0,0,104.78,27.08,29.4,30.2,6.1,12,0,0,3,5,0,0,TRUE,-1,Invesco Field,59,56,5,10,6,0,0,38,\N,\N,\N,\N,0,-1,-1,456,\N,49,-1,HOME
1,2008,2,2008-09-14,DET,GB,48,0,37,20,1,4,4,1,1,0,0,0,0,0,0,1,3,28,0,20,7,150,0,28,0,0,104.22,25.42,18.4,45.7,2.7,12,0,0,0,6,0,0,TRUE,1,Ford Field,68,70,0,16,9,1,0,36,\N,\N,\N,\N,0,1,1,447,\N,11,1,HOME
1,2008,2,2008-09-14,GB,DET,25,2,29,14,5,20,9,0,0,-16,0,3,83,2,0,0,2,4,0,3,4,99,0,29,0,0,71.38,13.98,6.6,31.9,5.9,13,0,0,7,4,2,0,TRUE,23,Ford Field,68,70,0,12,2,1,0,25,\N,\N,\N,\N,0,23,23,311,\N,12,23,AWAY
1,2008,2,2008-09-14,IND,MIN,15,0,43,24,2,10,2,1,1,0,0,0,0,0,0,0,2,30,0,25,4,84,0,27,0,0,51.1,3.2,19.4,8,3.5,17,0,0,2,7,0,0,TRUE,5,Medtrodome,58,40,0,13,2,0,0,15,\N,\N,\N,\N,0,5,5,299,\N,14,5,AWAY
1,2008,2,2008-09-14,JAX,BUF,20,0,43,6,3,29,0,1,1,11,0,0,0,0,0,0,2,23,0,15,4,95,0,31,0,0,62.96,11.46,22.7,19.7,1.1,8,0,0,4,5,0,0,TRUE,6,Jacksonville Municipal Stadium,87,60,5,11,6,0,0,20,\N,\N,\N,\N,0,6,6,285,\N,52,6,HOME
1,2008,2,2008-09-14,KC,OAK,23,0,50,15,0,0,2,2,2,1,0,0,0,0,0,0,3,37,0,16,1,21,0,21,0,0,58.7,2.5,39.7,1.1,2.4,13,0,0,0,3,0,0,TRUE,4,Arrowhead Stadium,61,63,25,14,6,1,1,23,\N,\N,\N,\N,0,4,4,355,\N,55,4,HOME
1,2008,2,2008-09-14,MIA,ARI,31,0,48,9,2,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,81,0,28,0,0,103.74,26.84,15.9,49.5,4.5,7,0,0,2,4,0,0,TRUE,1,University of Phoenix Stadium,70,40,0,13,7,0,0,31,\N,\N,\N,\N,0,1,1,445,\N,64,1,AWAY
1,2008,2,2008-09-14,MIN,IND,18,0,41,7,2,15,6,0,0,0,0,2,1,0,0,0,3,42,0,27,4,105,0,37,0,0,64.04,12.44,12.6,30.6,4.4,4,0,0,5,6,0,0,TRUE,7,Medtrodome,58,40,0,15,6,0,0,18,\N,\N,\N,\N,0,7,7,321,\N,67,7,HOME
1,2008,2,2008-09-14,NE,NYJ,10,0,39,10,2,29,4,0,0,0,0,1,6,0,0,0,3,53,0,24,2,53,0,32,0,0,47.74,9.84,12.9,19.5,1.5,4,0,0,3,6,0,0,TRUE,8,The Meadowlands,90,54,12,12,6,0,0,10,\N,\N,\N,\N,0,8,8,256,\N,21,8,AWAY
1,2008,2,2008-09-14,NO,WAS,29,1,47,26,2,15,5,1,1,3,0,0,0,0,0,0,1,55,1,55,4,93,0,36,0,0,90.84,16.94,25.2,29.8,7.9,11,0,0,5,4,0,1,TRUE,9,Fedex Field,90,55,6,11,3,1,1,29,\N,\N,\N,\N,0,9,9,455,\N,69,9,AWAY
1,2008,2,2008-09-14,NYG,STL,13,1,41,1,6,44,4,0,0,0,0,1,41,1,0,0,4,76,0,50,4,93,0,33,0,0,50.58,9.98,9.4,17.8,2.4,11,0,0,6,8,1,0,TRUE,18,Edward Jones Dome,70,90,0,13,3,1,1,13,\N,\N,\N,\N,0,18,18,201,\N,75,18,AWAY
1,2008,2,2008-09-14,NYJ,NE,19,0,51,21,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,24,0,0,52.5,7.3,21.4,9.4,1.4,13,0,0,7,8,0,0,TRUE,5,The Meadowlands,90,54,12,14,6,1,1,19,\N,\N,\N,\N,0,5,5,260,\N,82,5,HOME
1,2008,2,2008-09-14,OAK,KC,8,0,40,9,5,38,12,2,0,0,0,2,36,0,0,0,6,46,0,19,2,75,0,42,0,0,39.72,10.82,8.6,10.4,9.9,0,0,0,5,7,0,0,TRUE,13,Arrowhead Stadium,61,63,25,15,4,0,0,8,\N,\N,\N,\N,0,13,13,190,\N,83,13,AWAY
1,2008,2,2008-09-15,PHI,DAL,41,1,34,12,0,0,3,2,1,-11,1,1,14,0,0,0,2,12,0,11,7,159,0,47,0,0,95.48,19.98,24.4,24.4,13.7,13,0,0,1,3,1,0,TRUE,6,Texas Stadium,76,26,0,10,6,0,0,41,\N,\N,\N,\N,0,6,6,380,\N,26,6,AWAY
1,2008,2,2008-09-14,PIT,CLE,6,0,43,3,2,11,6,0,0,0,0,2,12,0,0,0,1,1,0,1,2,21,0,21,0,0,30.54,3.24,10.5,5.3,5.5,6,0,0,4,6,0,0,TRUE,13,Cleveland Browns Stadium,80,69,40,15,7,0,0,6,\N,\N,\N,\N,0,13,13,208,\N,28,13,AWAY
